State,"2016 Median Annual
income"
AL,47221
AK,75723
AZ,57100
AR,45907
CA,66637
CO,70566
CT,75923
DE,58046
FL,51176
GA,53527
HI,72133
ID,56564
IL,61386
IN,56094
IA,59094
KS,56810
KY,45369
LA,42196
ME,50856
MD,73760
MA,72266
MI,57091
MN,70218
MS,41099
MO,55016
MT,57075
NE,59374
NV,55431
NH,76260
NJ,68468
NM,48451
NY,61437
NC,53764
ND,60184
OH,53985
OK,50943
OR,59135
PA,60979
RI,61528
SC,54336
SD,57450
TN,51344
TX,58146
UT,67481
VT,60837
VA,66451
WA,70310
WV,44354
WI,59817
WY,57829
